pIC50,num_atoms,logP,Mol,molecular_weight,polar_surface_area,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_rings,logS,electrostatic_potential,shape_index,surface_area,unified_smiles,Cluster
4.75,32,4.0575,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30d60>,423.20591042000007,61.36000000000001,1,5,5,5,4,-4.057500000000003,-1.569596055489406,1219.0674383403432,187.08142518216218,O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,2
4.78,38,4.5889,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30dd0>,539.2114870400001,137.05,3,9,10,5,4,-4.588900000000004,-1.862407366042101,1486.062673879597,220.27245525498466,NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,2
4.79,26,4.1227,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30e40>,373.14695157200003,56.84,2,4,4,4,3,-4.122700000000002,-1.202481220535939,872.2630521853664,156.50033392553425,CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,1
4.79,27,3.9922,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30eb0>,385.16693806800004,66.07,2,5,5,4,3,-3.992200000000002,-1.4047620405283066,887.9657145197509,163.81328586651154,COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,2
4.82,29,4.3804,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30f20>,404.092770084,58.64,1,3,5,4,3,-4.3804000000000025,-1.2309154590985556,1081.7917913004892,172.69455544841702,O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,1
4.83,26,3.7446,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30f90>,371.15128800400004,66.07,2,5,4,4,3,-3.744600000000003,-1.334523143928817,855.0130521853666,157.44834375211488,COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,2
4.84,27,4.2194,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31000>,355.112090288,61.54,2,2,3,4,4,-4.219400000000002,-1.1869089054419784,1196.0391451694184,154.30730924421883,C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,2
4.86,25,3.2599,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31070>,357.13563794000004,74.86,3,5,5,4,3,-3.259900000000001,-1.3533658088047889,826.1500178888831,150.87343015112296,COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,2
4.87,21,1.1559,<rdkit.Chem.rdchem.Mol object at 0x7b8058b310e0>,281.1276601,99.82,2,5,4,3,3,-1.1558999999999993,-1.2375008292363652,794.4341213018029,120.9647195640579,NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,1
4.88,27,3.7891,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31150>,389.14186619200007,74.86,3,5,5,4,3,-3.789100000000002,-1.347926372592258,909.2381628525584,161.4039076684458,COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,2
4.89,27,2.8304,<rdkit.Chem.rdchem.Mol object at 0x7b8058b311c0>,384.14653697200004,111.33,3,6,4,4,3,-2.830400000000001,-1.470885475601684,975.778600754924,161.28914923447232,NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,2
4.91,26,3.12532,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31230>,377.14092721599997,99.60000000000001,2,5,8,2,2,-3.125320000000001,-1.3781151130203653,897.0592608894002,153.28896770575005,CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,2
4.92,23,1.5345,<rdkit.Chem.rdchem.Mol object at 0x7b8058b312a0>,317.173941596,101.37,3,5,4,3,2,-1.5345,-1.5027052395010454,715.1870459953187,134.48531783167368,CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,2
4.93,27,3.7891,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31310>,389.14186619200007,74.86,3,5,5,4,3,-3.789100000000002,-1.3478697803164539,909.2381628525584,161.4039076684458,COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,2
4.94,22,4.4366,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31380>,308.12488114,46.5,1,3,1,4,3,-4.436600000000002,-0.7290373906405362,824.3989189624255,123.90769032951006,FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,1
4.96,31,3.1912,<rdkit.Chem.rdchem.Mol object at 0x7b8058b313f0>,418.1441186880001,92.35000000000001,3,6,8,4,3,-3.191200000000001,-1.5440653362239076,1148.3232354939666,177.51116939658246,O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,2
4.96,25,3.7493,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31460>,328.096025624,79.52,2,5,2,5,4,-3.7493000000000007,-1.0420617451780956,1162.2084983105512,141.71656168267367,O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,2
4.96,41,6.8228,<rdkit.Chem.rdchem.Mol object at 0x7b8058b314d0>,560.1979038480001,61.61000000000001,1,5,5,7,5,-6.822800000000006,-1.7472238816036816,1709.0439093367359,243.75100753343443,O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,2
4.99,29,2.4377,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31540>,394.21172407200004,109.16,3,6,6,4,3,-2.4377000000000004,-1.723030644924204,959.8831916840896,169.37637455108293,COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,2
5.0,35,3.4492,<rdkit.Chem.rdchem.Mol object at 0x7b8058b315b0>,469.15501772,99.35,3,6,6,6,4,-3.449200000000001,-1.6124997180938958,1505.6667920869454,198.9710767967947,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,2
5.0,29,4.0008,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31620>,415.177502752,75.3,2,6,6,4,3,-4.000800000000003,-1.5433939942331878,952.338528601774,175.29177321041502,COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,2
5.0,26,3.6169,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31690>,372.13530359200007,72.06,2,5,5,4,3,-3.616900000000002,-1.2927558553411782,843.4024895589072,156.8020553114184,COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,2
5.0,35,2.8972,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31700>,493.18960872400004,121.25,3,8,7,4,3,-2.8972000000000016,-1.7665379733288034,1340.759544816356,203.8331975984586,C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,2
5.0,28,5.1673,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31770>,384.11979576000004,51.45,1,5,4,4,4,-5.167300000000003,-1.0889942363076623,1120.4612720003752,157.96139930782195,COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,1
5.0,24,4.1485,<rdkit.Chem.rdchem.Mol object at 0x7b8058b317e0>,316.132411132,51.45,1,5,4,4,4,-4.148500000000003,-1.1499796016502093,979.0125069286485,139.0998509846467,COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,1
5.0,28,3.5081,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31850>,373.15387484800004,80.55000000000001,2,6,5,4,4,-3.5081000000000016,-1.3887051871126217,1152.467154895742,161.54111949709173,CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,2
5.0,28,3.5081,<rdkit.Chem.rdchem.Mol object at 0x7b8058b318c0>,373.15387484800004,80.55000000000001,2,6,5,4,4,-3.5081000000000016,-1.388749196337804,1135.217154895742,161.5411194970917,CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,2
5.0,32,3.38,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31930>,449.1521605960001,88.83,1,8,5,5,4,-3.3800000000000017,-1.456432231025481,1342.9231491671317,185.93902034069382,CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,2
5.0,31,3.0235,<rdkit.Chem.rdchem.Mol object at 0x7b8058b319a0>,457.08784608800005,122.52999999999999,2,9,6,4,4,-3.023500000000001,-1.2951828635396385,1495.046003748948,179.15190681671766,CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,2
5.0,30,4.6145,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31a10>,399.20591042000007,54.69000000000001,1,6,7,5,4,-4.614500000000003,-1.4590347715721625,1101.6214234656743,175.67856407330382,c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,2
5.0,27,2.0014,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31a80>,367.1756729120001,91.83999999999999,1,8,5,4,3,-2.0013999999999994,-1.2470431502656814,963.2534721494055,155.92073403043614,CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,2
5.0,26,2.0862,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31af0>,354.144038436,97.83,1,8,5,4,3,-2.0862,-1.1877122032000544,935.1478418036054,148.90950347534303,O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,2
5.0,24,1.6639,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31b60>,323.18584367200003,84.36999999999999,2,7,4,4,3,-1.663899999999999,-1.3784709056244684,806.1769389393442,140.06746331569218,NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,2
5.0,26,1.4805,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31bd0>,353.196408356,79.61,2,8,7,4,3,-1.4804999999999997,-1.5447144668637625,829.9317082295388,151.75592214619098,c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,2
5.0,37,4.314,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31c40>,530.1711797,82.83999999999999,1,8,5,5,4,-4.314000000000004,-1.4499502101402544,1543.191980238636,211.81179921896225,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,2
5.0,37,4.314,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31cb0>,530.1711797,82.83999999999999,1,8,5,5,4,-4.314000000000003,-1.450086382426657,1525.941980238636,211.81179921896225,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,2
5.0,29,4.8979,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31d20>,381.1953457360001,36.67,0,5,2,6,4,-4.897900000000004,-1.140070604683011,1194.8329795696768,169.76915917686307,c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,2
5.0,30,3.9745,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31d90>,399.20591042000007,63.480000000000004,2,6,5,5,4,-3.9745000000000017,-1.5142684344466049,1183.408806898275,175.46859258670852,COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,2
5.0,41,7.2818,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31e00>,567.2457245439999,80.99000000000001,1,7,5,5,4,-7.281800000000007,-1.6223367743955344,1553.2508860608925,235.6398902980129,COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,2
5.0,40,6.697,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31e70>,558.241309948,100.86000000000001,2,8,6,5,4,-6.697000000000005,-1.754070186318351,1486.9100889155611,237.86423316874433,CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,2
5.0,33,3.8454,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31ee0>,443.2433585480001,69.96000000000001,2,8,7,5,4,-3.8454000000000024,-1.8682444379011076,1213.147777957737,193.35320204151188,COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,2
5.0,28,3.4972,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31f50>,376.16477388000004,85.60000000000001,2,8,7,4,4,-3.497200000000001,-1.5297770551348273,1077.7059985111362,161.71279060750132,COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,2
5.0,28,2.8494,<rdkit.Chem.rdchem.Mol object at 0x7b8058b31fc0>,393.1259458480001,89.25,1,7,6,4,4,-2.849400000000001,-1.1913605773993163,1202.578487153706,162.5612363466661,CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,2
5.01,34,3.6725,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32030>,457.15501772,108.14,4,6,8,5,4,-3.672500000000001,-1.7318755803830932,1411.6107618490983,193.40199434933197,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,2
5.02,27,3.9922,<rdkit.Chem.rdchem.Mol object at 0x7b8058b320a0>,385.16693806800004,66.07,2,5,5,4,3,-3.992200000000003,-1.4049102781783736,870.7157145197509,163.8132858665115,COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,2
5.02,34,3.5859,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32110>,463.18556889999996,110.07000000000002,1,8,7,4,3,-3.5859000000000023,-1.6531062149017643,1193.8761181605064,196.42512096539073,COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,2
5.05,30,4.3863,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32180>,457.070087848,92.79,2,9,7,5,4,-4.386300000000003,-1.2010336238935284,1198.1065510177843,184.4868891677483,O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,2
5.07,29,4.0029,<rdkit.Chem.rdchem.Mol object at 0x7b8058b321f0>,394.12771967599997,115.62,2,7,7,3,3,-4.002900000000002,-1.4179538482397072,1054.5464801622331,166.00137850453478,COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,2
5.09,31,4.6408,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32260>,457.10723027200004,96.01,3,5,8,3,3,-4.640800000000003,-1.4479368204836267,1053.5013427464141,189.75370338457265,CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,2
5.14,26,3.7,<rdkit.Chem.rdchem.Mol object at 0x7b8058b322d0>,342.15929457600004,68.52000000000001,1,6,3,5,4,-3.700000000000001,-1.1391925753902197,1070.5451196778506,150.52877938242113,c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,2
5.14,23,1.2061,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32340>,335.141595912,90.97999999999999,2,5,6,4,2,-1.2060999999999995,-1.1517746453611424,763.8968200027603,135.4592670573414,CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,2
5.15,26,4.1055,<rdkit.Chem.rdchem.Mol object at 0x7b8058b323b0>,385.040023304,103.78999999999999,3,6,5,4,4,-4.105500000000001,-1.236255165305799,1107.437758608929,156.242945757553,O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,2
5.15,36,7.00618,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32420>,491.19329504800004,77.98,1,6,4,5,4,-7.006180000000006,-1.2310384379934052,1428.8092906565375,205.9384109094291,CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,2
5.16,30,2.9695,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32490>,402.12405193999996,90.62000000000002,1,7,2,6,5,-2.969500000000002,-1.0731730092922946,1484.2109995264768,168.15537425623822,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,2
5.16,37,5.0601,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32500>,511.16781066000004,95.5,1,8,6,6,5,-5.060100000000005,-1.7892966805275632,1539.6590030189807,217.42375343686714,Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,2
5.16,26,2.87932,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32570>,375.12527715199997,99.60000000000001,2,5,5,3,2,-2.8793200000000008,-1.3283411335914512,921.7834912725143,152.28313655222078,Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,2
5.17,27,4.2719,<rdkit.Chem.rdchem.Mol object at 0x7b8058b325e0>,359.15462379600007,46.32000000000001,0,5,3,5,4,-4.271900000000003,-1.0227303317410434,1092.1411790974169,155.6704558152684,Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,1
5.18,25,3.0381,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32650>,338.15428944800004,73.57,3,3,3,4,3,-3.038100000000001,-1.2557061177759123,923.0971931130963,143.8898470195642,O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,2
5.19,28,3.7307,<rdkit.Chem.rdchem.Mol object at 0x7b8058b326c0>,375.20591042000007,62.53,1,5,5,5,3,-3.7307000000000032,-1.201392796127577,983.8346888774524,164.12338404183393,O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,2
5.19,41,7.2818,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32730>,567.2457245439999,80.99000000000001,1,7,5,5,4,-7.281800000000007,-1.6224181232737906,1536.000886060892,235.6398902980129,COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,2
5.19,37,2.0226,<rdkit.Chem.rdchem.Mol object at 0x7b8058b327a0>,522.2273912,123.88999999999999,2,11,8,5,4,-2.0225999999999997,-1.8470080389595613,1498.4543532020668,215.5645044509131,CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,2
5.19,27,2.8069,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32810>,379.1102957840001,89.25,1,7,5,4,4,-2.8069000000000015,-1.1345716857947172,1185.9972480483914,156.19629423226948,CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,2
5.19,30,3.8213,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32880>,407.175753164,79.38000000000001,2,6,5,4,3,-3.8213000000000026,-1.4798664858296542,1018.7028154595156,173.46886979626476,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,2
5.22,26,4.0614,<rdkit.Chem.rdchem.Mol object at 0x7b8058b328f0>,364.061469956,62.550000000000004,1,3,3,4,3,-4.061400000000003,-0.9596212500461188,1024.3002650209592,154.01039736859042,O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,1
5.22,19,3.72622,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32960>,254.15314657599998,46.5,1,3,1,4,3,-3.7262200000000023,-0.8225522127662954,731.1025651946967,111.41108412073136,Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,1
5.23,24,2.8843,<rdkit.Chem.rdchem.Mol object at 0x7b8058b329d0>,322.179361324,86.92999999999999,2,4,5,3,3,-2.8843000000000005,-1.3679678217968194,878.2682212276932,140.83989792630118,CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,2
5.24,18,3.4178,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32a40>,240.13749651199998,46.5,1,3,1,4,3,-3.4178000000000015,-0.8333791256758042,688.0212629491166,105.04614200633475,c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,1
5.25,25,5.1038,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32ab0>,347.082539748,60.94,3,3,1,5,4,-5.103800000000002,-1.364556837299374,1119.0875449975356,148.6625375888741,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,2
5.25,29,2.0826,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32b20>,415.16781066,111.21,3,6,6,4,3,-2.0826,-1.5448400334188317,1083.2574893833307,169.9514840547341,CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,2
5.25,34,4.233,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32b90>,458.2230377040001,69.79,1,7,4,6,4,-4.233000000000003,-1.5561778945740654,1315.6521731400462,197.04340265612163,OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,2
5.29,29,2.4922,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32c00>,390.21680945200006,65.77,1,6,5,5,3,-2.4922000000000004,-1.337163283220708,1015.4634547150226,169.8832177120373,CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,2
5.3,25,5.2129,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32c70>,391.03202416799996,60.94,3,3,1,5,4,-5.212900000000003,-1.3607544079067013,1119.0875449975356,152.2268189676338,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,2
5.3,26,2.6366,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32ce0>,358.135365572,89.07000000000001,2,7,4,3,3,-2.6366000000000005,-1.213331438087701,949.3869956332804,147.6094787694426,CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,2
5.32,27,4.1013,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32d50>,429.11642248800007,66.07,2,5,5,4,3,-4.101300000000003,-1.4044924454218852,870.7157145197509,167.37756724527117,COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,2
5.32,25,2.7797,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32dc0>,348.11979576000004,86.93,2,4,4,3,3,-2.7797,-1.1921015567956839,929.4562223651275,140.60661990628665,NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,2
5.33,22,0.7381,<rdkit.Chem.rdchem.Mol object at 0x7b8058b32e30>,296.13855913199995,125.84,3,6,4,3,3,-0.7381000000000004,-1.4669216131658442,854.3599993227241,126.3046102610706,NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,2
